No,Code_Dong,Floating(Dong),Floating(Dong)/Floating(Gu),WomenFloting(Dong),WF(Dong)/WF(Gu),WF(Dong)/Floating(Dong),Aroung Market(OX),Average Loan(up/down),Population(Gu),Population(Dong),Risk of new startups,Number of subway passengers (Dong/Year),Number of subway passengers (Dong/Month),Number of subway passengers (Gu/Year),Number of subway passengers (Dong/Month)
169,11680531,1112971,0.05,332935,0.068,0.299,1,1,565069,22597,41,0,0,341766100,28480508
170,11680610,1362376,0.061,316541,0.064,0.232,1,1,565069,41639,49,8816043,734670,341766100,28480508
171,11680640,2728578,0.121,902319,0.184,0.331,1,1,565069,36490,52,34325174,2860431,341766100,28480508
172,11680650,1214876,0.054,331184,0.067,0.273,1,1,565069,37059,44,73617353,6134779,341766100,28480508
173,11680656,698877,0.031,155096,0.032,0.222,1,1,565069,34827,48,12747079,1062257,341766100,28480508
174,11680660,169269,0.008,28544,0.006,0.169,1,1,565069,20494,49,6962403,580200,341766100,28480508
175,11680690,445060,0.02,95531,0.019,0.215,1,1,565069,18479,50,0,0,341766100,28480508
176,11680700,1029991,0.046,212468,0.043,0.206,1,1,565069,44928,48,0,0,341766100,28480508
177,11680720,566071,0.025,109299,0.022,0.193,1,1,565069,25046,53,6517346,543112,341766100,28480508
178,11680730,439006,0.02,81692,0.017,0.186,1,1,565069,17131,48,0,0,341766100,28480508
179,11680750,624562,0.028,124833,0.025,0.2,1,1,565069,16858,42,12434883,1036240,341766100,28480508
180,11710531,317573,0.017,54789,0.013,0.173,1,0,669146,13505,44,4842104,403509,211554140,17629512
181,11710540,269924,0.015,42540,0.01,0.158,1,0,669146,22356,39,3828098,319008,211554140,17629512
182,11710561,411652,0.023,84019,0.021,0.204,1,0,669146,16736,40,15114018,1259502,211554140,17629512
183,11710566,551451,0.03,112668,0.028,0.204,1,0,669146,19588,43,0,0,211554140,17629512
184,11710590,427840,0.023,95454,0.023,0.223,1,0,669146,21628,46,0,0,211554140,17629512
185,11710600,712876,0.039,177835,0.043,0.249,1,0,669146,34872,43,0,0,211554140,17629512
186,11710610,750320,0.041,183349,0.045,0.244,1,0,669146,33731,53,0,0,211554140,17629512
187,11710631,372471,0.02,59684,0.015,0.16,1,0,669146,906,39,0,0,211554140,17629512
188,11710632,720950,0.04,147030,0.036,0.204,1,0,669146,34790,32,0,0,211554140,17629512
189,11710642,1139047,0.062,292153,0.071,0.256,1,0,669146,27135,58,0,0,211554140,17629512
190,11710670,878664,0.048,201440,0.049,0.229,1,0,669146,36947,41,31565848,2630487,211554140,17629512
191,11710690,611670,0.034,128130,0.031,0.209,1,0,669146,30438,49,12413773,1034481,211554140,17629512
192,11710710,1136936,0.062,305505,0.075,0.269,1,0,669146,17484,53,73738501,6144875,211554140,17629512
193,11740520,432094,0.037,79570,0.034,0.184,1,0,446726,10218,48,7771196,647600,105622521,8801877
194,11740530,633464,0.055,126314,0.055,0.199,1,0,446726,22679,37,13091324,1090944,105622521,8801877
195,11740580,410208,0.035,85179,0.037,0.208,1,0,446726,14993,35,0,0,105622521,8801877
196,11740590,362210,0.031,70860,0.031,0.196,1,0,446726,19070,46,0,0,105622521,8801877
197,11740650,665704,0.057,145009,0.063,0.218,1,0,446726,25983,49,0,0,105622521,8801877
198,11740660,701747,0.061,146692,0.063,0.209,1,0,446726,24463,38,0,0,105622521,8801877
199,11740690,170496,0.015,30060,0.013,0.176,1,0,446726,9293,51,8775451,731288,105622521,8801877
200,11740700,722784,0.062,129827,0.056,0.18,1,0,446726,28807,55,0,0,105622521,8801877
