No,Gu,Code_Dong,Floating(Dong),Floating(Dong)/Floating(Gu),WomenFloting(Dong),WF(Dong)/WF(Gu),WF(Dong)/Floating(Dong),Aroung Market(OX),Average Loan(up/down),Population(Gu),Population(Dong),Risk of new startups,Number of subway passengers (Dong/Year),Number of subway passengers (Dong/Month),Number of subway passengers (Gu/Year),Number of subway passengers (Dong/Month)
376,1,11680720,566071,0.025,109299,0.022,0.193,1,1,565069,25046,53,6517346,543112,341766100,28480508
377,1,11680730,439006,0.02,81692,0.017,0.186,1,1,565069,17131,48,0,0,341766100,28480508
378,1,11680740,361268,0.016,70074,0.014,0.194,1,1,565069,16486,35,0,0,341766100,28480508
379,1,11680750,624562,0.028,124833,0.025,0.2,1,1,565069,16858,42,12434883,1036240,341766100,28480508
380,0,11710510,432954,0.024,86067,0.021,0.199,1,0,669146,17206,54,0,0,211554140,17629512
381,0,11710520,930300,0.051,224309,0.055,0.241,1,0,669146,25504,44,0,0,211554140,17629512
382,0,11710531,317573,0.017,54789,0.013,0.173,1,0,669146,13505,44,4842104,403509,211554140,17629512
383,0,11710532,319426,0.018,55261,0.014,0.173,1,0,669146,18209,39,0,0,211554140,17629512
384,0,11710540,269924,0.015,42540,0.01,0.158,1,0,669146,22356,39,3828098,319008,211554140,17629512
385,0,11710550,367815,0.02,61198,0.015,0.166,1,0,669146,20993,45,0,0,211554140,17629512
386,0,11710561,411652,0.023,84019,0.021,0.204,1,0,669146,16736,40,15114018,1259502,211554140,17629512
387,0,11710562,855718,0.047,205655,0.05,0.24,1,0,669146,25582,54,0,0,211554140,17629512
388,0,11710566,551451,0.03,112668,0.028,0.204,1,0,669146,19588,43,0,0,211554140,17629512
389,0,11710570,880170,0.048,164644,0.04,0.187,1,0,669146,37496,45,12394050,1032838,211554140,17629512
390,0,11710580,673961,0.037,168821,0.041,0.25,1,0,669146,26436,35,6535846,544654,211554140,17629512
391,0,11710590,427840,0.023,95454,0.023,0.223,1,0,669146,21628,46,0,0,211554140,17629512
392,0,11710600,712876,0.039,177835,0.043,0.249,1,0,669146,34872,43,0,0,211554140,17629512
393,0,11710610,750320,0.041,183349,0.045,0.244,1,0,669146,33731,53,0,0,211554140,17629512
394,0,11710620,900314,0.049,186695,0.046,0.207,1,0,669146,28215,52,22411997,1867666,211554140,17629512
395,0,11710631,372471,0.02,59684,0.015,0.16,1,0,669146,906,39,0,0,211554140,17629512
396,0,11710632,720950,0.04,147030,0.036,0.204,1,0,669146,34790,32,0,0,211554140,17629512
397,0,11710641,556085,0.031,122592,0.03,0.22,1,0,669146,21722,45,9332751,777729,211554140,17629512
398,0,11710642,1139047,0.062,292153,0.071,0.256,1,0,669146,27135,58,0,0,211554140,17629512
399,0,11710646,800219,0.044,175786,0.043,0.22,1,0,669146,35513,52,19377154,1614763,211554140,17629512
400,0,11710647,831287,0.046,185960,0.045,0.224,1,0,669146,24935,53,0,0,211554140,17629512
401,0,11710650,920521,0.051,223903,0.055,0.243,1,0,669146,30048,40,0,0,211554140,17629512
402,0,11710670,878664,0.048,201440,0.049,0.229,1,0,669146,36947,41,31565848,2630487,211554140,17629512
403,0,11710680,1219239,0.067,299575,0.073,0.246,1,0,669146,36722,53,0,0,211554140,17629512
404,0,11710690,611670,0.034,128130,0.031,0.209,1,0,669146,30438,49,12413773,1034481,211554140,17629512
405,0,11710710,1136936,0.062,305505,0.075,0.269,1,0,669146,17484,53,73738501,6144875,211554140,17629512
406,0,11710720,235692,0.013,46639,0.011,0.198,1,0,669146,10449,40,0,0,211554140,17629512
407,0,11740515,827805,0.071,160317,0.069,0.194,1,0,446726,33853,51,0,0,105622521,8801877
408,0,11740520,432094,0.037,79570,0.034,0.184,1,0,446726,10218,48,7771196,647600,105622521,8801877
409,0,11740530,633464,0.055,126314,0.055,0.199,1,0,446726,22679,37,13091324,1090944,105622521,8801877
410,0,11740540,436033,0.038,83011,0.036,0.19,1,0,446726,18236,49,0,0,105622521,8801877
411,0,11740550,357787,0.031,66690,0.029,0.186,1,0,446726,27249,49,6905745,575479,105622521,8801877
412,0,11740560,241365,0.021,38558,0.017,0.16,1,0,446726,8344,43,0,0,105622521,8801877
413,0,11740570,843696,0.073,169350,0.073,0.201,1,0,446726,38312,48,0,0,105622521,8801877
414,0,11740580,410208,0.035,85179,0.037,0.208,1,0,446726,14993,35,0,0,105622521,8801877
415,0,11740590,362210,0.031,70860,0.031,0.196,1,0,446726,19070,46,0,0,105622521,8801877
416,0,11740600,998050,0.086,192343,0.083,0.193,1,0,446726,29758,56,14457938,1204828,105622521,8801877
417,0,11740610,1130617,0.097,240046,0.104,0.212,1,0,446726,36480,43,27991273,2332606,105622521,8801877
418,0,11740620,773527,0.067,165778,0.072,0.214,1,0,446726,27197,42,13147907,1095659,105622521,8801877
419,0,11740640,641536,0.055,134755,0.058,0.21,1,0,446726,21183,40,7809781,650815,105622521,8801877
420,0,11740650,665704,0.057,145009,0.063,0.218,1,0,446726,25983,49,0,0,105622521,8801877
421,0,11740660,701747,0.061,146692,0.063,0.209,1,0,446726,24463,38,0,0,105622521,8801877
422,0,11740685,1249163,0.108,252873,0.109,0.202,1,0,446726,50608,42,5671906,472659,105622521,8801877
423,0,11740690,170496,0.015,30060,0.013,0.176,1,0,446726,9293,51,8775451,731288,105622521,8801877
424,0,11740700,722784,0.062,129827,0.056,0.18,1,0,446726,28807,55,0,0,105622521,8801877
